open,open,high,low,close,previous,previous_ratio,volume
22/09/05,"1,925.82","1,932.37","1,920.49","1,928.79",-1.38,-0.1,"811,920,000"
22/09/02,"1,938.99","1,939.80","1,920.68","1,930.17",-5.32,-0.3,"1,030,610,000"
22/09/01,"1,945.70","1,950.21","1,934.90","1,935.49",-27.67,-1.4,"1,100,420,000"
22/08/31,"1,951.10","1,963.16","1,950.46","1,963.16",-5.22,-0.3,"1,332,180,000"
22/08/30,"1,957.45","1,969.71","1,954.57","1,968.38",24.28,1.2,"998,380,000"
22/08/29,"1,947.54","1,949.04","1,935.77","1,944.10",-35.49,-1.8,"1,073,660,000"
22/08/26,"1,983.89","1,989.17","1,978.92","1,979.59",2.99,0.2,"855,510,000"
22/08/25,"1,972.77","1,980.03","1,968.71","1,976.60",9.42,0.5,"906,450,000"
22/08/24,"1,973.08","1,976.46","1,964.28","1,967.18",-4.26,-0.2,"1,022,930,000"
22/08/23,"1,980.27","1,980.42","1,968.30","1,971.44",-21.15,-1.1,"974,310,000"
22/08/22,"1,979.32","1,992.85","1,975.98","1,992.59",-1.93,-0.1,"920,870,000"
22/08/19,"2,000.08","2,003.09","1,990.84","1,994.52",4.02,0.2,"1,022,400,000"
22/08/18,"1,992.38","1,994.22","1,985.13","1,990.50",-16.49,-0.8,"987,930,000"
22/08/17,"1,989.68","2,006.99","1,989.01","2,006.99",25.03,1.3,"1,135,290,000"
22/08/16,"1,982.17","1,983.09","1,976.88","1,981.96",-3,-0.2,"969,650,000"
22/08/15,"1,975.34","1,985.84","1,974.50","1,984.96",11.78,0.6,"994,600,000"
22/08/12,"1,954.30","1,973.18","1,952.34","1,973.18",39.53,2,"1,457,930,000"
22/08/10,"1,935.87","1,937.28","1,924.60","1,933.65",-3.37,-0.2,"1,055,220,000"
22/08/09,"1,950.32","1,952.95","1,935.99","1,937.02",-14.39,-0.7,"1,125,240,000"
22/08/08,"1,939.98","1,951.53","1,939.55","1,951.41",4.24,0.2,"1,123,350,000"
