date,open,high,low,close,previous,previous_ratio,volume
21/11/08,"29,735.45","29,735.45","29,507.05","29,507.05",-104.52,-0.4,"1,231,790,000"
21/11/05,"29,840.73","29,840.73","29,504.07","29,611.57",-182.8,-0.6,"1,266,640,000"
21/11/04,"29,859.74","29,880.81","29,718.78","29,794.37",273.47,0.9,"1,482,770,000"
21/11/02,"29,462.40","29,599.57","29,457.18","29,520.90",-126.18,-0.4,"1,183,560,000"
21/11/01,"29,330.68","29,666.83","29,267.63","29,647.08",754.39,2.6,"1,285,900,000"
21/10/29,"28,819.16","29,000.65","28,475.06","28,892.69",72.6,0.3,"1,564,980,000"
21/10/28,"28,871.61","28,895.11","28,693.06","28,820.09",-278.15,-1,"2,212,790,000"
21/10/27,"29,056.01","29,139.22","28,870.25","29,098.24",-7.77,0,"1,144,110,000"
21/10/26,"28,927.61","29,160.76","28,893.95","29,106.01",505.6,1.8,"1,141,960,000"
21/10/25,"28,527.13","28,668.70","28,472.55","28,600.41",-204.44,-0.7,"1,045,760,000"
21/10/22,"28,578.53","28,989.50","28,546.57","28,804.85",96.27,0.3,"1,051,240,000"
21/10/21,"29,152.74","29,220.82","28,688.78","28,708.58",-546.97,-1.9,"1,041,910,000"
21/10/20,"29,385.95","29,489.11","29,222.32","29,255.55",40.03,0.1,"1,117,800,000"
21/10/19,"29,117.28","29,272.49","29,075.37","29,215.52",190.06,0.7,"1,084,980,000"
21/10/18,"29,093.82","29,144.33","28,924.40","29,025.46",-43.17,-0.1,"1,084,980,000"
21/10/15,"28,787.26","29,082.35","28,726.22","29,068.63",517.7,1.8,"1,143,200,000"
21/10/14,"28,264.41","28,576.68","28,234.01","28,550.93",410.65,1.5,"1,152,660,000"
21/10/13,"28,085.44","28,364.99","27,993.46","28,140.28",-90.33,-0.3,"1,111,800,000"
21/10/12,"28,458.88","28,468.88","28,166.38","28,230.61",-267.59,-0.9,"1,134,930,000"
21/10/11,"27,977.57","28,581.36","27,893.32","28,498.20",449.26,1.6,"1,194,170,000"
21/10/08,"28,031.37","28,321.35","28,018.89","28,048.94",370.73,1.3,"1,356,770,000"
